tract,below_fpl,below_200fpl,fpl_universe,below_fpl_pct,below_200fpl_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037123206,467,1101,2470,18.9,44.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7529,6488814.03417969,10269.8069203341
06037123301,313,1108,3945,7.9,28.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7530,14044397.7158203,17672.2348690356
06037123303,543,1047,2842,19.1,36.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7531,6799869.65917969,13016.2516740511
06037123304,689,1686,4435,15.5,38,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7532,9447370.32324219,13402.3495508187
06037123410,981,1666,3374,29.1,49.4,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7533,5327906.84667969,9495.32660654228
06037123420,899,1871,4453,20.2,42,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7534,8476029.85058594,14726.8571740902
06037123510,985,2130,4535,21.7,47,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7535,8603575.37597656,12258.4799587289
06037123520,398,1324,2488,16,53.2,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7536,5504854.453125,12484.6591107765
06037123601,922,1728,5379,17.1,32.1,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7537,16517551.7255859,18181.9327502049
06037123602,723,1145,3069,23.6,37.3,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7538,9916166.48632813,14181.4964237375
06037123700,486,1077,3827,12.7,28.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7539,10250516.9980469,13103.9322408975
06037123800,775,1600,5552,14,28.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7540,13919787.9189453,17428.7067572039
06037123901,1035,2069,4360,23.7,47.5,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7541,13875662.3837891,15019.32017585
06037123902,501,703,2758,18.2,25.5,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7542,7141609.65429688,11686.0132686263
06037124000,803,1496,4502,17.8,33.2,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7543,14496033.2666016,16685.9094325059
06037124102,1029,1431,3634,28.3,39.4,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7544,6987058.81933594,10573.0606834977
06037124103,228,715,1891,12.1,37.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7545,3486434.33398438,7921.9754361806
06037124104,561,1294,2760,20.3,46.9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7546,3492293.15917969,7927.11640188863
06037124105,361,695,2191,16.5,31.7,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7547,3493092.95019531,7929.038325372
06037124201,347,1191,3436,10.1,34.7,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7548,10468066.3359375,13209.6368142491
06037124203,192,481,2063,9.3,23.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7549,3490837.5546875,7927.0976687992
06037124204,708,1284,2473,28.6,51.9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7550,3491071.05078125,7925.26139134871
06037124300,205,949,3043,6.7,31.2,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7551,9590084.12109375,12560.906802409
06037124400,352,997,4419,8,22.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7552,10416361.8662109,13080.2384753725
06037124500,424,1060,2728,15.5,38.9,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7553,8816160.09277344,14044.0644392235
06037124600,106,315,2847,3.7,11.1,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7554,12032142.8330078,14288.9997994529
06037124700,453,1022,5115,8.9,20,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7555,14717341.7050781,17847.4516777833
06037124902,381,1036,3123,12.2,33.2,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7556,3655267.71582031,8060.47178135223
06037124903,545,1070,3762,14.5,28.4,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7557,3341025.85644531,7810.2031865543
06037125101,622,1293,4465,13.9,29,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7558,6993775.37011719,10577.5914050794
06037125102,194,234,2053,9.4,11.4,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7559,6983782.57910156,10570.9031704514
06037125200,318,743,4203,7.6,17.7,District 5,Los Angeles - Valley Village,SPA 2 - San Fernando,7560,14025049.8710938,15858.5600024556
06037125310,492,1208,4129,11.9,29.3,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7561,11345426.9960938,19246.4454252297
06037125321,420,1050,2840,14.8,37,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7562,2794430.71386719,6880.71698936718
06037125322,599,954,2090,28.7,45.6,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7563,4016692.21972656,8863.49463806969
06037125402,300,857,3798,7.9,22.6,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7564,7870336.81152344,11261.8643960315
06037125403,367,750,2594,14.1,28.9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7565,1812286.28808594,6036.39269321772
06037125404,525,793,3001,17.5,26.4,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7566,2465982.47558594,8590.47462477878
06037125501,421,977,2969,14.2,32.9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7567,4997337.83105469,9227.59643860236
06037125502,620,985,3696,16.8,26.7,District 5,Los Angeles - Toluca Lake,SPA 2 - San Fernando,7568,5667867.68945313,9620.83266373234
06037125600,273,447,2990,9.1,14.9,District 5,Los Angeles - Toluca Woods,SPA 2 - San Fernando,7569,10980245.7148438,14762.5143602447
06037127102,1357,2127,5288,25.7,40.2,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7570,9245400.71582031,12295.9997805195
06037127103,349,1579,3354,10.4,47.1,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7571,3094236.27929688,7528.84523775603
06037127104,906,2586,4219,21.5,61.3,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7572,7664571.44335938,11264.995246141
06037127210,474,2266,5418,8.7,41.8,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7573,16562017.9599609,19659.8297555775
06037127220,1060,2437,4750,22.3,51.3,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7574,7041150.37597656,10593.4498100944
06037127300,319,1457,4195,7.6,34.7,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7575,11463045.1748047,15054.0715200536
06037127400,966,2647,5626,17.2,47,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7576,23325863.9951172,25020.8935618826
06037127520,1199,3027,4868,24.6,62.2,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7577,3908348.79003906,7974.71713669489
06037127603,734,1534,2860,25.7,53.6,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,7578,4663222.81933594,9720.50597744387
06037127604,764,1324,3134,24.4,42.2,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,7579,4661902.93554688,9870.07215328037
